model_name,task_name,xai_name,total_coverage,coverage_class0,coverage_class1
FCN,FordA,GuidedBackprop,0.49924242424242427,0.5140324963072378,0.48367029548989116
FCN,FordA,InputXGradient,0.4962121212121212,0.5081240768094535,0.48367029548989116
FCN,FordA,KernelShap,0.04015151515151515,0.0413589364844904,0.038880248833592534
FCN,FordA,Lime,0.43106060606060603,0.4342688330871492,0.4276827371695179
FCN,FordA,Occlusion,0.5,0.5140324963072378,0.48522550544323484
FCN,GunPointMaleVersusFemale,Saliency,0.4272151898734177,0.3431952662721893,0.5238095238095238
FCN,GunPointMaleVersusFemale,GuidedBackprop,0.2721518987341772,0.05917159763313609,0.5170068027210885
FCN,GunPointMaleVersusFemale,InputXGradient,0.4430379746835443,0.3727810650887574,0.5238095238095238
FCN,GunPointMaleVersusFemale,KernelShap,0.0,0.0,0.0
FCN,GunPointMaleVersusFemale,Lime,0.24367088607594936,0.2485207100591716,0.23809523809523808
FCN,GunPointMaleVersusFemale,Occlusion,0.2120253164556962,0.23668639053254437,0.1836734693877551
FCN,GunPoint,Saliency,0.5,0.5657894736842105,0.43243243243243246
FCN,GunPoint,GuidedBackprop,0.5,0.5657894736842105,0.43243243243243246
FCN,GunPoint,InputXGradient,0.48,0.5657894736842105,0.3918918918918919
FCN,GunPoint,KernelShap,0.013333333333333334,0.02631578947368421,0.0
FCN,GunPoint,Lime,0.23333333333333334,0.23684210526315788,0.22972972972972974
FCN,GunPoint,Occlusion,0.34,0.3157894736842105,0.36486486486486486
FCN,Strawberry,Saliency,0.5,0.48484848484848486,0.5084033613445378
FCN,Strawberry,GuidedBackprop,0.5,0.48484848484848486,0.5084033613445378
FCN,Strawberry,InputXGradient,0.4945945945945946,0.48484848484848486,0.5
FCN,Strawberry,KernelShap,0.010810810810810811,0.007575757575757576,0.012605042016806723
FCN,Strawberry,Lime,0.3,0.24242424242424243,0.3319327731092437
FCN,Strawberry,Occlusion,0.5,0.48484848484848486,0.5084033613445378
FCN,ECG200,Saliency,0.39,0.375,0.39705882352941174
FCN,ECG200,GuidedBackprop,0.33,0.1875,0.39705882352941174
FCN,ECG200,InputXGradient,0.21,0.3125,0.16176470588235295
FCN,ECG200,KernelShap,0.04,0.03125,0.04411764705882353
FCN,ECG200,Lime,0.1,0.0625,0.11764705882352941
FCN,ECG200,Occlusion,0.44,0.5,0.4117647058823529
FCN,DistalPhalanxOutlineCorrect,Saliency,0.22826086956521738,0.23853211009174313,0.2215568862275449
FCN,DistalPhalanxOutlineCorrect,GuidedBackprop,0.3804347826086957,0.3211009174311927,0.41916167664670656
